	Eternal Living Fragrance,万古生香,ばんこしょうかおり
"Hanabi to Issho, Fushigi na Party.",花火と一緒、不思議なパーティ。,はなびといっしょふしぎなぱーてぃ
"Hanabi, Sono Ato","花火,その後",はなびそのご
"Hanautabiyori ~Souji, Sentaku, Kaji, Watashi~",ハナウタ日和 ー掃除、洗濯、家事、ワタシー,はなうたひよりーそうじせんたくかじわたしー
"Hareta Sora, Ashi wa Nukarumi",晴れた空、足は泥濘,はれたそらあしはでいねい
"Haru no Yuurei, Kimi no Na wa",春の幽霊、君の名は,はるのゆうれいきみのなは
"Haru, Kimi wa Chou ni Natte Sora o Tonda",春、君は蝶になって空を飛んだ,はるきみはちょうになってそらをとんだ
"Haru, poolside no kisho yohoshi",春、プールサイドの気象予報士,はるぷーるさいどのきしょうよほうし
"Haru, Sakura, Sanatorium.",春、さくら、サナトリウム。,はるさくらさなとりうむ
"Haruka, Resonance",遥か、レゾナンス,はるかれぞなんす
"Harungo, Koi",春んご、来い,はるんごらいい
"Hashiridase, Frontier",走り出せ、フロンティア,はしりだせふろんてぃあ
"Hatsuga, Sore wa Chijou e no Chousen",発芽、それは地上への挑戦,はつがそれはちじょうへのちょうせん
"Hatsune Miku e ""     "" Ore yori",初音ミクへ 「     」 俺より,はつねみくへおれより
"Hello, 10-Shuunen",ハロー、10周年,はろーじゅうしゅうねん
"Hello, Hollows",こんにちは虚さん,こんにちはうろさん
"Hello, Ore Kamisama.",ハロー、オレ神様。,はろーおれかみさま
"Hello, Universe","你好啊,宇宙",你好啊うちゅう
"Hello, World!","你好,世界!",你好せかい
"Hello, World!","你好,世界!",你好せかい
"Her Chivalry, like a red star Lily",赤い百合のシュバルリー,あかいゆりのしゅばるりー
"Higan no Hana, Touka ga Shiku.",彼岸の華、燈火が如く。,ひがんのはなあかりひがしく
"Hikikomori dakedo, Hatsune Miku ni Jisakkyoku Utawaseta 2",ひきこもりだけど、初音ミクに自作曲歌わせた2,ひきこもりだけどはつねみくにじさくきょくうたわせた
"Hikikomori dakedo, Hatsune Miku ni Jisakkyoku Utawaseta",ひきこもりだけど、初音ミクに自作曲歌わせた,ひきこもりだけどはつねみくにじさくきょくうたわせた
"Hishou, Sono Saki e",飛翔、その先へ,ひしょうそのさきへ
"Hito Negau, Nagareru Houkiboshi",人願う、流る彗星,ひとねがうながれるすいせい
"Hito to Chigau Koto Bakari, Ikizurai Yo no Naka da na",人と違う事ばかり、生きづらい世の中だな,ひととちがうことばかりいきづらいよのなかだな
"Hitohira, Harari.",一片、はらり。,いっぺんはらり
"Hitoribocchi wa, Sabishii Mon na",独りぼっちは、寂しいもんな,ひとりぼっちはさみしいもんな
"Hodoketa Ribbon, Yureta Kokoro",解けたリボン、揺れた心,とけたりぼんゆれたこころ
"Honoo no Tori, Gunjou o Yuku.",炎の鳥、群青を征く。,ほのおのとりぐんじょうをせいく
"Hoshi Akari no Yoru, Kimi ni Aetara",星明かりの夜、君に会えたら,ほしあかりのよるくんにあえたら
"Hoshi Furu Yoru, Kimi to Asterism",星降る夜、君とアステリズム,ほしふるよるきみとあすてりずむ
"Hoshi Furu Yoru, Kimi to Asterism",星降る夜、君とアステリズム,ほしふるよるきみとあすてりずむ
"Hoshi Koyoi, Aoi Hoshi yori",星今宵・碧い星より,ほしこよいへきいぼしより
"Hoshi no umi, Bottle mail",星の海、ボトルメール,ほしのうみぼとるめーる
"Hoshi wa, Itsudemo.",星は、いつでも。,ほしはいつでも
"Houkago, Harukaze.",放課後、春風。,ほうかごしゅんぷう
"Houkago, Kyoushitsu no Suicide-san",放課後、教室のスーサイドさん,ほうかごきょうしつのすーさいどさん
"I can't see, I don't want to see",見ることが出来ない、 見たいない,みることができないみたいない
"I no naka no kaeru, taikai wo shirazu.",井の中の蛙、大海を知らず。,いのなかのかわずたいかいをしらず
"I'm sorry, but everything is by design.",お気の毒ですがすべて仕様です。,おきのどくですがすべてしようです
"Ice, Koi",アイス、来い,あいすらいい
"Ichido dake no kiss, ichiya kagiri no kankei",一度だけのキス、一夜限りの関係,いちどだけのきすいちやかぎりのかんけい
"Ichigo Kari-zoku, Ureu Asa",苺狩り族、憂う朝,いちごがりぞくうれうあさ
"Ichirunonozomi yo, Ano Tsuki e Hibike",一縷の望みよ、あの月へ響け,いちるののぞみよあのつきへひびけ
"If it's making a song, let's get started!",作曲するならいまのうち!,さっきょくするならいまのうち
"If Possible, Let Not This Magic Be Broken",できたら魔法が解けないように,できたらまほうがとけないように
"if you like beautiful things, kill me.",綺麗事が好きなら僕を殺してくれ。,きれいごとがすきならぼくをころしてくれ
"If you put it on blue, your neck is good",青に添えるなら君の首がいい,あおにそえるならきみのくびがいい
"Ihatov Koukyoukyoku Iwatesan no Ouwashi ""Taneyamagahara no Bokka""",イーハトーヴ交響曲 岩手山の大鷲 「種山ヶ原の牧歌」,いーはとーゔこうきょうきょくいわてさんのおおわしたねやまがはらのぼっか
"Ijou, Hatsukoi no Uta 2",以上、初恋のうた2,いじょうはつこいのうたつー
"Ikitetai noni kurushikute, shinitai no wa naze darou.",生きてたいのに苦しくて、死にたいのは何故だろう。,いきてたいのにくるしくてしにたいのはなぜだろう
"Ikuyo, Usagi wa Ai wo Motometa no da",幾夜、兎は愛を求めたのだ,いくようさぎはあいをもとめたのだ
"Ikuyo, Usagi wa Ai wo Motometa no da",幾夜、兎は愛を求めたのだ,いくようさぎはあいをもとめたのだ
"Ima Made Kita Anti Comme, Kuso Rep+‪α‬ de 1-9",今まで来たアンチコメ、クソリプ+‪α‬で1-9,いままできたあんちこめくそりぷあるふぁで
"Ima mo Nao, Kiezu ni Hibikitsuzuke...",今もなお、消えずに響き続け・・・,いまもなおきえずにひびきつづけ
"Ima, Sakihokaru Hana-tachi yo",今、咲き誇る花たちよ,いまさきほこるはなたちよ
"Ima, Sora e",今、空へ,いまそらへ
"In the spring,sleepy deeply",春眠、暁に溺れる,しゅんみんあかつきにおぼれる
"Inochi no Hi, Koi no Honou.",命の火、恋の炎。,いのちのひこいのほのお
"Inochi yo, Sora e",命よ、宇宙(そら)へ,いのちようちゅうそらへ
"Ippun Ichibyou Demo Nagaku ikite, Kimi no Tonari ni Boku wa Itain da",一分一秒でも長く生きて、君の隣に僕は居たいんだ,いちぶいちびょうでもながくいきてきみのとなりにぼくはいたいんだ
"Irodzuku, Toumei na Utagoe ni",色づく、透明な歌声に,いろづくとうめいなうたごえに
"Issho ni Ikou yo, Shiawase na Mirai e",一緒に行こうよ、幸せな未来へ,いっしょにいこうよしあわせなみらいへ
"Issho ni Ikouyo, Shiawase na Mirai e",一緒に行こうよ、幸せな未来へ,いっしょにいこうよしあわせなみらいへ
"It's A Daydream, The Spring Disease",春の病は夢うつつ,はるのびょうはゆめうつつ
"It""s her delusion",大学生妄想詩,だいがくせいもうそうし
"Itoshikimi no Akuheki wa,",愛し君の悪癖は、,いとしきみのあくへきは
"Itoshiteru, to Iu Kotoba ga Mada",愛してる、という言葉がまだ,あいしてるということばがまだ
"Itoshiteru, to Iu Kotoba ga Mada",愛してる、という言葉がまだ,あいしてるということばがまだ
"Itsumo Soba ni, Hokkaido",いつもそばに、北海道,いつもそばにほっかいどう
"Ittoki, Mayoi no Omamagoto",一時、迷いのおままごと,いちじまよいのおままごと
"Ituka no Koi wa, Hi no Fulu Yoru ni",いつかの恋は、日の降る夜に,いつかのこいはひのふるよるに
"Jesu, Joy of Man's Desiring",主よ、人の望みの喜びよ,おもよひとののぞみのよろこびよ
"Jigoku Idol ""Lovely Destroy""",地獄アイドル『ラブリーデストロイ』,じごくあいどるらぶりーですとろい
"Jinrui, Minna Guzu.",人類、皆クズ。,じんるいみなくず
"Josetsu ""Bundan""",序節「分断」,じょぶしぶんだん
"Joukei wa, Pink",情景は、ピンク,じょうけいはぴんく
"Kagayaku Omoide, Tsuzuku Yume no Naka e",輝く思い出、続く夢の中へ,かがやくおもいでつづくゆめのなかへ
"Kagen, Yukiyo no Kumogakure",下弦、雪夜の雲隱れ,かげんゆきよのくも隱れ
"Kaguya, Tsuki e Kaeru!",かぐや、月へ帰る!,かぐやつきへかえる
"Kairaku to Sougi, Mitasa Renai Dinner",快楽と葬儀、満たされないディナー,かいらくとそうぎみたされないでぃなー
"Kairaku to Sougi, Mitasarenai Dinner",快楽と葬儀、満たされないディナー,かいらくとそうぎみたされないでぃなー
"Kakeru, Hoshizora no Kanata e",駆ける、星空の彼方へ,かけるほしぞらのかなたへ
"Kam iyo, Boku ni Dake.",神よ、僕にだけ。,かみよぼくにだけ
"Kami-sama, Anata no Iu Toori",かみさま、あなたの言うとおり,かみさまあなたのいうとおり
"Kami-sama, Douka Boku o Sagashite Kudasai.",神様、どうか僕を殺して下さい。,かみさまどうかぼくをころしてください
"Kami-sama, Watashi no Seibetsu Machigaetemasu.",神様、わたしの性別間違えてます。,かみさまわたしのせいべつまちがえてます
"Kanashii ne, Cinderella",悲しいね、シンデレラ,かなしいねしんでれら
"Karada no Bunkai to Saikouchiku, Mata wa Shinwa no Enkansei ni Tsuite",身体の分解と再構築、または神話の円環性について,しんたいのぶんかいとさいこうちくまたはしんわのえんたまきせいについて
"Karada no Bunkai to Saikouchiku, Mata wa Shinwa no Enkansei ni Tsuite",身体の分解と再構築、または神話の円環性について,しんたいのぶんかいとさいこうちくまたはしんわのえんたまきせいについて
"Karada no Bunkai to Saikouchiku, Mata wa Shinwa no Enkansei ni Tsuite",身体の分解と再構築、または神話の円環性について,しんたいのぶんかいとさいこうちくまたはしんわのえんたまきせいについて
"Karasuba, Hirari",烏羽、ひらり,うばひらり
"Kashou Senshi Magical Unana! Daiichiwa ""Otomachi☆Magical Carnival!""",歌唱戦士マジカルウナナ! 第一話「オトマチ☆マジカルカーニバル!」,かしょうせんしまじかるうななだいいちわおとまちまじかるかーにばる
"Kasou, Ison, Shuuchaku",仮想・依存・執着,かそういぞんしゅうちゃく
"Kasumi Sakura to, Kimi ni.",霞桜と、君に。,かすみさくらとくんに
"Kawari Yuku Boku o, Kimi wa Donna Fuu ni Omou Darou",変わりゆく僕を、君はどんな風に思うだろう,かわりゆくぼくをきみはどんなかぜにおもうだろう
"Keimai Manzai ""Monoboke""",兄妹漫才「モノボケ」,きょうだいまんざいものぼけ
"Kemono, Warechuu ni Doukokusu",獣、我中ニ慟哭ス,ししがちゅうにどうこくす
"Kikai Shoujo no Koi no Odori, Moshiku wa Jinkou Shounen no Shitsuren-ka",機械少女の恋の踊り、もしくは人工少年の失恋歌,きかいしょうじょのこいのおどりもしくはじんこうしょうねんのしつれんか
"Kimeru no wa Sekai ja Nai, Kimi da",決めるのは世界じゃない、君だ,きめるのはせかいじゃないきみだ
"Kimi e,",君へ、,きみへ
"Kimi ga Se wo Muketa to Shite mo, Boku wa Kimi to Mita Kono Sora wo Wasurenai...",君が背を向けたとしても、僕は君と見たこの空を忘れない...,きみがせをむけたとしてもぼくはきみとみたこのそらをわすれない
"Kimi ga Se wo Muketa to Shite mo, Boku wa Kimi to Mita Kono Sora wo Wasurenai...",君が背を向けたとしても、僕は君と見たこの空を忘れない...,きみがせをむけたとしてもぼくはきみとみたこのそらをわすれない
"Kimi ga Se wo Muketa to Shite mo, Boku wa Kimi to Mita Kono Sora wo Wasurenai...",君が背を向けたとしても、僕は君と見たこの空を忘れない...,きみがせをむけたとしてもぼくはきみとみたこのそらをわすれない
"Kimi no ``Futsuu"" tte Nandesu ka",君の『普通』って何ですか,きみのふつうってなにですか
"Kimi no Hou e, Boku no Hou e.",君の方へ、僕の方へ。,きみのほうへぼくのほうへ
"Kimi to Hoshi, Prologue",君と星、プロローグ,きみとほしぷろろーぐ
"Kimi to, Tooku e.",君と、遠くへ。,きみととおくへ
"Kimi wa Boku de, Boku wa Kimi da",君は僕で、僕は君だ,きみはぼくでぼくはきみだ
"Kimi wa Daikirai na Hachigatu ni,Namida no Youni Ochite Yuku",君は大嫌いな8月に、涕のように落ちてゆく,きみはだいきらいなはちがつに涕のようにおちてゆく
"Kimi wa Ima, Nani Shiteru?",君は今、何してる?,きみはいまなにしてる
"Kimi wa, Jitsu ni Baka da na.",君は、実に馬鹿だな。,きみはじつにばかだな
"Kimi wa, kimi ga, kimi dake datta.",君は、君が、君だけだった。,きみはきみがきみだけだった
"Kimi, Shinitamau Koto Nakare",君、死に給ふこと勿れ,きみしにきゅうふことまなれ
"Kimi, Tokidoki Ame.",キミ、ときどき雨。,きみときどきう
"Kinou no Kimi e, Hanabi no Yoru",昨日の君へ、花火の夜,きのうのきみへはなびのよる
"Kinou, Pan o Tabemashita.",昨日、パンを食べました。,きのうぱんをたべました
"Kiriotoshita Kanjou, Kimi no Uta wo Towa ni Utau",切り落とした感情  君の歌を永久に歌う,きりおとしたかんじょうくんのうたをえいきゅうにうたう
